"library"	"collection"	"category"	"year"	"title"	"author"	"journal"	"book_title"	"editor"	"abstract"	"volume"	"issue"	"pages"	"publisher"	"place"	"institution"	"doi"	"url"	"note"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Unexpected high vulnerability of functions in wilderness areas: evidence from coral reef fishes"	"D'agata, Stéphanie ; Vigliola, Laurent ; Graham, Nicholas A. J. ; Wantiez, Laurent ; Parravicini, Valeriano ; Villéger, Sébastien ; Mou-Tham, Gerard ; Frolla, Philippe ; Friedlander, Alan M. ; Kulbicki, Michel ; Mouillot, David"	"Proceedings of the Royal Society B: Biological Sciences"	NA	NA	"High species richness is thought to support the delivery of multiple ecosystem functions and services under changing environments. Yet, some species might perform unique functional roles while others are redundant. Thus, the benefits of high species richness in maintaining ecosystem functioning are uncertain if functions have little redundancy, potentially leading to high vulnerability of functions. We studied the natural propensity of assemblages to be functionally buffered against loss prior to fishing activities, using functional trait combi- nations, in coral reef fish assemblages across unfished wilderness areas of the Indo-Pacific: Chagos Archipelago, New Caledonia and French Polynesia. Fish functional diversity in these wilderness areas is highly vulnerable to fish- ing, explained by species- and abundance-based redundancy packed into a small combination of traits, leaving most other trait combinations (60%) sensi- tive to fishing, with no redundancy. Functional vulnerability peaks for mobile and sedentary top predators, and large species in general. Functional vulner- ability decreases for certain functional entities in New Caledonia, where overall functional redundancy was higher. Uncovering these baseline patterns of functional vulnerability can offer early warning signals of the damaging effects from fishing, and may serve as baselines to guide precautionary and even proactive conservation actions."	"283"	"1844"	"20160128"	NA	NA	NA	"10.1098/rspb.2016.0128"	NA	"pubid: cx97FdCJQX8C"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Towards understanding the organisation of metacommunities in highly dynamic ecological systems"	"Datry, Thibault ; Bonada, Núria ; Heino, Jani"	"Oikos"	NA	NA	"Community ecology recognises today that local biological communities are not only aff ected by local biotic interactions and abiotic environmental conditions, but also by regional processes (e.g. dispersal). While much is known about how metacommunities are organised in space in terrestrial, marine and freshwater ecological systems, their temporal variations remain poorly studied. Here, we address the question of the dynamics of metacommunities in highly variable systems, using intermittent rivers (IRs), those rivers which temporarily stop fl owing or dry up, as a model system. We fi rst review how habitat heterogeneity in space and time infl uences metacommunity organisation. Second, we compare the metacommunities in IRs to those in perennial rivers (PRs) and develop the idea that IRs could undergo highly dynamic shifts due to the temporal variability in local and regional community processes. Th ird, we develop the idea that in IRs, metacommunities of the wet and dry phases of IRs are closely intertwined, thereby increasing even more their respective temporal dynamics. Last, we provide a roadmap to stimulate further conceptual and empirical developments of metacommunity research and identify possible applications for improving the management of IRs and other highly dynamic ecological systems."	"125"	"2"	"149–159"	NA	NA	NA	"10.1111/oik.02922"	NA	"pubid: OoWeVVXg5wC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"A landscape approach to advance intermittent river ecology"	"Datry, Thibault ; Pella, Herve ; Leigh, Catherine ; Bonada, Núria ; Hugueny, Bernard"	"Freshwater Biology"	NA	NA	"Intermittent rivers are increasingly viewed as shifting mosaics of lotic (flowing water), lentic (standing water) and terrestrial (dry riverbed) habitats. The diversity, spatial arrangement, temporal turnover and connectivity of these habitats are controlled by the magnitude, frequency, duration and extent of drying and rewetting events, which maintain habitat heterogeneity and control biodiversity and biogeochemical processes in intermittent rivers. We consider intermittent rivers as spatiotemporal landscape mosaics to identify the implications such a view has for empirical and theoretical developments in landscape and river ecology. Using observational data of flow states collected by citizen scientists along 1400 km of river channels in western France, we used landscape metrics and ecologically scaled indices for four hypothetical, aquatic species (two fish and two insects) to describe the dynamics of intermittent river mosaics for five catchments. Dry patches dominated most observation dates but flowing patches had the longest average length and occupied the greatest proportion of channel length. At the start of each summer, catchments were almost entirely composed of flowing patches but lentic and dry patches could represented up to 80% of the catchments as summer progressed. Patch dynamics were typified by high levels of spatiotemporal variability. In contrast, ecologically scaled indices did not vary greatly among catchments within species. The ecologically scaled indices representing small fish were the most affected by habitat fragmentation. Such a landscape perspective could affect understanding of biodiversity patterns and biogeochemical processes in intermittent rivers. We outline the methodological developments required to integrate landscape approaches into intermittent river research, the associated challenges and current limitations in landscape ecology tools and models and the benefits of citizen science data sets. The continued quantification of shifting habitat mosaics in intermittent rivers will provide multiple opportunities to advance river and landscape ecology."	"61"	"8"	"1200–1213"	NA	NA	NA	"10.1111/fwb.12645"	NA	"pubid: ITz7TVZQ0sgC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"RAINBIO: A mega-database of tropical African vascular plants distributions"	"Dauby, Gilles ; Zaiss, Rainer ; Blach-Overgaard, Anne ; Catarino, Luís ; Damen, Theo ; Deblauwe, Vincent ; Dessein, Steven ; Dransfield, John ; Droissart, Vincent ; Duarte, Maria Cristina ; Engledow, Henry ; Fadeur, Geoffrey ; Figueira, Rui ; Gereau, Roy E. ; Hardy, Oliver J. ; Harris, David J. ; de Heij, Janneke ; Janssens, Steven B. ; Klomberg, Yannick ; Ley, Alexandra C. ; MacKinder, Barbara A. ; Meerts, Pierre ; van de Poel, Jeike L. ; Sonké, Bonaventure ; Sosef, Marc S. M. ; Stévart, Tariq ; Stoffelen, Piet ; Svenning, Jens-Christian ; Sepulchre, Pierre ; van der Burgt, Xander ; Wieringa, Jan J. ; Couvreur, Thomas L. P."	"PhytoKeys"	NA	NA	"The tropical vegetation of Africa is characterized by high levels of species diversity but is undergoing important shifts in response to ongoing climate change and increasing anthropogenic pressures. Although our knowledge of plant species distribution patterns in the African tropics has been improving over the years, it remains limited. Here we present RAINBIO, a unique comprehensive mega-database of georeferenced records for vascular plants in continental tropical Africa. The geographic focus of the database is the region south of the Sahel and north of Southern Africa, and the majority of data originate from tropical forest regions. RAINBIO is a compilation of 13 datasets either publicly available or personal ones. Numerous in depth data quality checks, automatic and manual via several African flora experts, were undertaken for georeferencing, standardization of taxonomic names and identification and merging of duplicated records. The resulting RAINBIO data allows exploration and extraction of distribution data for 25,356 native tropical African vascular plant species, which represents ca. 89% of all known plant species in the area of interest. Habit information is also provided for 91% of these species."	"74"	NA	"1–18"	NA	NA	NA	"10.3897/phytokeys.74.9723"	NA	"pubid: iWLAPfBKHwC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Remotely sensed temperature and precipitation data improve species distribution modelling in the tropics"	"Deblauwe, Vincent ; Droissart, Vincent ; Bose, R. ; Sonké, Bonaventure ; Blach-Overgaard, Anne ; Svenning, Jens-Christian ; Wieringa, Jan J. ; Ramesh, B. R. ; Stévart, Tariq ; Couvreur, Thomas L. P."	"Global Ecology and Biogeography"	NA	NA	"distribution modelling typically relies completely or partially on climatic variables as predictors, overlooking the fact that these are themselves predictions with associated uncertainties. This is particularly critical when such predictors are interpolated between sparse station data, such as in the tropics. The goal of this study is to provide a new set of satellite-based climatic predictor data and to evaluate its potential to improve modelled species–climate associations and transferability to novel geographical regions.forests areas of Central Africa, the Western Ghats of India and South America.compared models calibrated on the widely used WorldClim station-interpolated climatic data with models where either temperature or precipitation data from WorldClim were replaced by data from CRU, MODIS, TRMM and CHIRPS. Each predictor set was used to model 451 plant species distributions. To test for chance associations, we devised a null model with which to compare the accuracy metric obtained for every species.than half of the studied rain forest species distributions matched the climatic pattern better than did random distributions. The inclusion of MODIS temperature and CHIRPS precipitation estimates derived from remote sensing each allowed for a better than random fit for respectively 40% and 22% more species than models calibrated on WorldClim. Furthermore, their inclusion was positively related to a better transferability of models to novel regions.conclusionsprovide a newly assembled dataset of ecologically meaningful variables derived from MODIS and CHIRPS for download, and provide a basis for choosing among the plethora of available climate datasets. We emphasize the need to consider the method used in the production of climate data when working on a region with sparse meteorological station data. In this context, remote sensing data should be the preferred choice, particularly when model transferability to novel climates or inferences on causality are invoked."	"25"	"4"	"443–454"	NA	NA	NA	"10.1111/geb.12426"	NA	"pubid: ibZ2AwG9z6wC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Agroecology and conservation of weed diversity in agricultural lands"	"Gaba, Sabrina ; Reboud, Xavier ; Fried, Guillaume"	"Botany Letters"	NA	NA	"Unité entomologie et plantes invasives, CBGP, 755 avenue du campus agropolis, Montferrier-sur-Lez cedex, France This issue, entitled Agroecology and conservation of weed diversity in agricultural lands, gathers together several contributions on the functional role of weeds in two con-trasting agricultural contexts, namely arable field and vineyard, and on the strategies for weed biodiversity conservation in farmlands. Arable weeds are usually defined as all non-crop spe-cies found in a cultivated field. In regions considered as the birthplaces of agriculture, regular soil disturbances induced by agricultural practices have created suitable habitats for some well-adapted native plants (apophytic species). With the development of agriculture, this set of species strongly associated with arable lands have been diversely introduced to other regions of the world, where they progressively enriched the regional pool of arable weeds in addition to the local (apophytic) spe-cies. In France, about 1200 arable weed species have been identified (Jauzein 1995), among which 300 spe-cies can be frequently encountered (Fried et al. 2007). Ethnobotanical studies showed the great importance of arable weeds not only by considering weeding as a very early human activity but also by their different representa-tions in dialects, and imaginary, symbolic and medicinal uses among rural societies until the twentieth century (Lieutaghi 1986). The threshold between the negative and positive perceptions of these species was probably fuzzier than today, even for farmers. For example, in traditional farming systems, weeds remaining after the harvest were used as a complementary resource for grazing of livestock. Nowadays, especially since the Millennium Ecosystem Assessment (Millennium Ecosystem Assessment 2005), the dual perception of weeds blends into the search for a trade-off between the antagonistic ecosystem services that they support. Indeed, weeds are now more widely recognized for their major contribution in supporting numerous ecosystem services (Marshall et al. 2003; Eraud et al. 2015; Requier et al. 2015; Rollin et al. 2016), among which several ecosystem services for crop production, such as not only pollination (Bretagnolle and Gaba 2015) and limitation of soil erosion but also auxiliaries in the vicinity of crops (Zandstra and Motooka 1978) (Figure 1). Consequently, the persistence of weed diversity in farm-lands becomes mandatory for the provision of impor-tant ecosystem functions, but it also needs to be carefully managed so as to limit the impact of weeds on crop yields through the competition for major resources (i.e. water, light and nutrients) or even maintenance of pests (Reboud et al. 2016; DiTommaso et al. forthcoming). The search for a trade-off between the antagonistic weeds functions is emblematic of agroecology (Altieri 1995; Gliessman 1995), and requires determination of the optimal spa-tiotemporal distributions of weed species provisioning these functions at both the field and landscape scales. However, with the rise of modern agriculture after the 1950s, the loss of non-crop habitats, the simplification of landscapes and the intensive use of herbicides have led to a dramatic decline of weed diversity (Stoate et al. 2001) and particularly of rare arable weeds (Storkey et al. 2012). In the present section, Fried, Dessaint, and Reboud (2016) document the decline of arable weeds between the 1970s and the 2000s in a small region of Burgundy (France). Beyond the loss of rare arable weeds, this study also pinpoints a strong reduction of formerly common weed species. There was a 46% decrease in the average number of weed species found within a field, correlated to a 38% decrease in weed functional diversity. The trend was similar when focusing on response traits to manage-ment practices (e.g. plant height, seed mass, season of germination) or on effect traits that influence the timing and amount of resources available for pollinators (flow-ering phenology, pollination mode). The authors found a positive relationship between weed species richness and functional diversity, and highlighted that the cur-rent level of weed diversity is now often unable to cover the full range of functions that were provided by arable weed communities in the 1970s. Regarding traits such as production of pollen and nectar, changes in weed com-munities (with a higher proportion of wind-pollinated species today) reduce the availability of resources for honey bees, wild pollinators and pest natural enemies"	"163"	"4"	"351–354"	NA	NA	NA	"10.1080/23818107.2016.1236290"	"http://dx.doi.org/10.1080/23818107.2016.1236290"	"pubid: DUFsPKDdMi0C"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Niche-based host extinction increases prevalence of an environmentally acquired pathogen"	"García-Peña, Gabriel E. ; Garchitorena, Andrés ; Carolan, Kevin ; Canard, Elsa ; Prieur-Richard, Anne-Hélène ; Suzán, Gerardo ; Mills, James N. ; Roche, Benjamin ; Guégan, Jean-François"	"Oikos"	NA	NA	"Understanding the ecology of environmentally acquired and multi-host pathogens affecting humans and wildlife has been elusive in part because fluctuations in the abundance of host and pathogen species may feed back onto pathogen transmission. Complexity of pathogen-host dynamics emerges from processes driving local extinction of the pathogen, its hosts and non-hosts. While the extinction of species may entail losses in pathogen-host interactions and decrease the proportion of hosts infected by a pathogen (prevalence), some studies suggest the opposite pattern. Niche-based extinction, based on the species tolerance to environmental conditions, may increase prevalence of infection because the pathogen and its hosts persist, while other species go extinct. Hence, understanding prevalence of infection requires disentangling random- and niche-based extinction processes occurring simultaneously. To contribute to this exercise, we analysed the prevalence of an environmentally acquired, multi-host pathogen, Mycobacterium ulcerans (MU), in a unique dataset of 16 communities of freshwater animals, surveyed during 12 months in Akonolinga, Cameroon in equatorial Africa. Two different ecosystems were identified: rivers (lotic) and swamps and flooded areas (lentic). Increased prevalence of MU infection was correlated with niche-based extinction of aquatic host invertebrates and vertebrates in the lentic ecosystems, whereas decreased prevalence was associated with random disassembly of the lotic ecosystems. This finding suggests that random and niche-based extinction of host taxa are key to assessing the effect of local extinction of species on the ecology of environmentally acquired and multi-host pathogens."	"125"	"10"	"1508–1515"	NA	NA	NA	"10.1111/oik.02700"	NA	"pubid: 9VeumLvkZSQC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Invertebrate assemblage responses and the dual roles of resistance and resilience to drying in intermittent rivers"	"Leigh, Catherine ; Bonada, Núria ; Boulton, Andrew J. ; Hugueny, Bernard ; Larned, Scott T. ; Vander Vorste, Ross ; Datry, Thibault"	"Aquatic Sciences"	NA	NA	"Intermittent rivers are naturally dynamic ecosystems in which flow cessation and riverbed drying cause temporal fluctuations in aquatic biodiversity. We analysed datasets from intermittent rivers in different climate zones across the world to examine responses of aquatic macroinvertebrate assemblages to drying, in relation to both taxonomic composition and traits of resistance and resilience. First, we compared the differences in taxonomic richness and turnover and in trait diversity, richness and redundancy before and after intermittent sites dried with the differences in concurrently sampled perennial sites. We found such high levels of variation in the before-after differences at intermittent and perennial sites that we could not detect statistical differences between them. Second, we examined the effects of climate (arid, Mediterranean, temperate) and durations of dry and post-dry (flowing) periods on responses to drying at intermittent sites. Only climate had a detectable effect; the proportion of taxa at intermittent sites that persisted through drying-rewetting phases was greatest in arid-zone rivers. Regardless of climate, the invertebrates that persisted at intermittent sites were dominated by taxa resistant to drying. By contrast, taxa that persisted at perennial sites had fewer traits conferring resistance but more conferring resilience. The contributions of resistance and resilience combined with the presence of both intermittent and perennial reaches likely supports the long-term stability and persistence of communities in intermittent rivers, despite the inherently high variation in short-term responses to drying."	"78"	"2"	"291–301"	NA	NA	NA	"10.1007/s00027-015-0427-2"	NA	"pubid: aU4yMueWZ3QC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Ecological research and management of intermittent rivers: an historical review and future directions"	"Leigh, Catherine ; Boulton, Andrew J. ; Courtwright, Jennifer L. ; Fritz, Ken ; May, Christine L. ; Walker, Richard H. ; Datry, Thibault"	"Freshwater Biology"	NA	NA	"Rivers and streams that do not flow permanently (herein intermittent rivers; IRs) make up a large proportion of the world's inland waters and are gaining widespread attention. We review the research on IRs from its early focus on natural history through to current application in management and policy. The few early studies of the ecology of IRs were largely descriptive. Nevertheless, in the 1970s, synthesis of this sparse research complemented work on temporary standing waters to found a powerful framework for much of the subsequent research on IRs. Research on the ecology and biogeochemistry of IRs continues to fuel our understanding of resistance and resilience to drying and flooding as disturbances. Syntheses of the growing literature, including cross-continental and cross-climate comparisons, are revealing the generality and individuality of ecological and ecosystem responses to flow cessation and surface water loss. Meanwhile, increasing numbers of experiments test the causality of these responses. Much of the increased consideration of IRs in research, management and policy is driven by the observed and projected shifts in flow regimes from perennial to intermittent associated with changes in land and water use and climate, superimposed on the high incidence of natural intermittency. The need to protect and better manage IRs is prompting researchers to develop new or modified methods to monitor flow status and assess the ecological condition of these systems. Intermittent river research and management will benefit from greater exploration of aquatic–terrestrial linkages, wet–dry cycling and temporal dynamics, more-detailed mapping and predictive modelling of flow intermittency and the application of metapopulation and metacommunity concepts alongside multiple-stressors and novel-ecosystems research. By building on existing knowledge, continuing to develop quantitative models and distribution maps and using experiments to test hypotheses and concepts, we can further ecological understanding and wise management of these ubiquitous ecosystems."	"61"	"8"	"1181–1199"	NA	NA	NA	"10.1111/fwb.12646"	NA	"pubid: VBDT71xRUdcC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Historical and contemporary determinants of global phylogenetic structure in tropical reef fish faunas"	"Leprieur, Fabien ; Colosio, Simona ; Descombes, Patrice ; Parravicini, Valeriano ; Kulbicki, Michel ; Cowman, Peter F. ; Bellwood, David R. ; Mouillot, David ; Pellissier, Loïc"	"Ecography"	NA	NA	"Identifying the main determinants of tropical marine biodiversity is essential for devising appropriate conservation measures mitigating the ongoing degradation of coral reef habitats. Based on a gridded distribution database and phylogenetic information, we compared the phylogenetic structure of assemblages for three tropical reef fish families (Labridae: wrasses, Pomacentridae: damselfishes and Chaetodontidae: butterflyfishes) using the Net Relatedness (NRI) and Nearest Taxon (NTI) indices. We then related these indices to contemporary and historical environmental conditions of coral reefs using spatial regression analyses. Higher levels of phylogenetic clustering were found for fish assemblages in the Indo-Australian Archipelago (IAA), and more particularly when considering the NTI index. The phylogenetic structure of the Pomacentridae, and to a lower extent of the Chaeotodontidae and Labridae, was primarily associated with the location of refugia during the Quaternary period. Phylogenetic clustering in the IAA may partly result from vicariance events associated with coral reef fragmentation during the glacial periods of the Quaternary. Variation in the patterns among fish families further suggest that dispersal abilities may have interacted with past habitat availability in shaping the phylogenetic structure of tropical reef fish assemblages.This article is protected by copyright. All rights reserved."	"39"	"9"	"825–835"	NA	NA	NA	"10.1111/ecog.01638"	NA	"pubid: -fu4zM₆qcIC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Plate tectonics drive tropical reef biodiversity dynamics"	"Leprieur, Fabien ; Descombes, Patrice ; Gaboriau, Theo ; Cowman, Peter F. ; Parravicini, Valeriano ; Kulbicki, Michel ; Melian, Carlos J. ; de Santana, Charles N. ; Heine, Christian ; Mouillot, David ; Bellwood, David R. ; Pellissier, Loïc"	"Nature Communications"	NA	NA	"The Cretaceous breakup of Gondwana strongly modified the global distribution of shallow tropical seas reshaping the geographic configuration of marine basins. However, the links between tropical reef availability, plate tectonic processes and marine biodiversity distribution patterns are still unknown. Here, we show that a spatial diversification model constrained by absolute plate motions for the past 140 million years predicts the emergence and movement of diversity hotspots on tropical reefs. The spatial dynamics of tropical reefs explains marine fauna diversification in the Tethyan Ocean during the Cretaceous and early Cenozoic, and identifies an eastward movement of ancestral marine lineages towards the Indo-Australian Archipelago in the Miocene. A mechanistic model based only on habitat-driven diversification and dispersal yields realistic predictions of current biodiversity patterns for both corals and fishes. As in terrestrial systems, we demonstrate that plate tectonics played a major role in driving tropical marine shallow reef biodiversity dynamics."	"7"	NA	"11461–11468"	NA	NA	NA	"10.1038/ncomms11461"	NA	"pubid: 9CGX2owmTHMC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Management diversity within organic production influences epigeal spider communities in apple orchards"	"Marliac, Gaëlle ; Mazzia, Christophe ; Pasquet, Alain ; Cornic, Jean François ; Hedde, Mickaël ; Capowiez, Yvan"	"Agriculture, Ecosystems and Environment"	NA	NA	"When compared to conventional production, organic production often has positive effects on the biodiversity of non-pest arthropods. However, organic production is only defined by the ban of synthetic pesticides and fertilizers and each farmer can still apply a wide variety of management practices that may also directly and indirectly influence arthropod biodiversity. Taking epigeal spiders inhabiting apple orchards as a case study, we first characterised the main agricultural practices applied in 20 selected organic orchards around Avignon in the South-East of France. Using ordination (PCA) and classification (HAC) methods, we identify three groups within these organic apple orchards: (i) the Biodynamy group, (ii) the Net group and (iii) the Classic group. The growers from the Biodynamy group used significantly less insecticides (40% less than those from the Classic group) and had more favourable habitat management practices (hedge and ground cover). We then sampled spider communities in each orchard in spring (April) and summer (June) using pitfall traps and showed that the spider communities in the Biodynamy and Net groups were significantly more abundant (+4% on average), species rich (+60% on average) and diverse (+70% on average) than those in the Classic group. GLM analysis showed that these differences were mainly due to reduced insecticide use but also the hedge quality of these orchards. A trait-based approach was further used to differentiate the spiders found in the three groups of orchards. The most striking finding was that spiders that use webs to forage (Linyphiidae, Agenilidae and Titanoecidae) were favoured in the Net group. This is probably because these nets protect the orchards from the major pest, allowing reduced pesticide use but also because the nets protect orchards from the windy conditions frequently observed around Avignon."	"216"	NA	"73–81"	NA	NA	NA	"10.1016/j.agee.2015.09.026"	"http://dx.doi.org/10.1016/j.agee.2015.09.026"	"pubid: KIRwYnRZzWQC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Humans and seasonal climate variability threaten large-bodied coral reef fish with small ranges"	"Mellin, C. ; Mouillot, David ; Kulbicki, Michel ; McClanahan, Tim R. ; Vigliola, Laurent ; Bradshaw, C. J. A. ; Brainard, R. E. ; Chabanet, Pascale ; Edgar, G. J. ; Fordham, D. A. ; Friedlander, Alan M. ; Parravicini, Valeriano ; Sequeira, A. M. M. ; Stuart-Smith, R. D. ; Wantiez, Laurent ; Caley, M. J."	"Nature Communications"	NA	NA	"Coral reefs are among the most species-rich and threatened ecosystems on Earth, yet the extent to which human stressors determine species occurrences, compared with biogeography or environmental conditions, remains largely unknown. With ever-increasing human-mediated disturbances on these ecosystems, an important question is not only how many species can inhabit local communities, but also which biological traits determine species that can persist (or not) above particular disturbance thresholds. Here we show that human pressure and seasonal climate variability are disproportionately and negatively associated with the occurrence of large-bodied and geographically small-ranging fishes within local coral reef communities. These species are 67% less likely to occur where human impact and temperature seasonality exceed critical thresholds, such as in the marine biodiversity hotspot: the Coral Triangle. Our results identify the most sensitive species and critical thresholds of human and climatic stressors, providing opportunity for targeted conservation intervention to prevent local extinctions."	"7"	NA	"10491–10499"	NA	NA	NA	"10.1038/ncomms10491"	"http://dx.doi.org/10.1038/ncomms10491"	"pubid: oYwriLWYh5YC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Reviews and syntheses: Australian vegetation phenology: New insights from satellite remote sensing and digital repeat photography"	"Moore, Caitlin E. ; Brown, Tim ; Keenan, Trevor F. ; Duursma, Remko A. ; van Dijk, Albert I. J. M. ; Beringer, Jason ; Culvenor, Darius ; Evans, Bradley ; Huete, Alfredo ; Hutley, Lindsay B. ; Maier, Stefan ; Restrepo-Coupe, Natalia ; Sonnentag, Oliver ; Specht, Alison ; Taylor, Jeffrey R. ; van Gorsel, Eva ; Liddell, Michael J."	"Biogeosciences"	NA	NA	"Phenology is the study of periodic biological occurrences and can provide important insights into the influence of climatic variability and change on ecosystems. Understanding Australia's vegetation phenology is a challenge due to its diverse range of ecosystems, from savannas and tropical rainforests to temperate eucalypt woodlands, semi-arid scrublands and alpine grasslands. These ecosystems exhibit marked differences in seasonal patterns of canopy development and plant life-cycle events, much of which deviates from the predictable seasonal phenological pulse of temperate deciduous and boreal biomes. Many Australian ecosystems are subject to irregular events (i.e., drought, flooding, cyclones and fire) that can alter ecosystem composition, structure and functioning just as much as seasonal change. We show how satellite remote sensing and ground-based digital repeat photography (i.e. phenocams) can be used to improve understanding of phenology in Australian ecosystems. First, we examine temporal variation in phenology at the continental scale using the Enhanced Vegetation Index (EVI), calculated from MODerate resolution Imaging Spectroradiomter (MODIS) data. Spatial gradients are revealed, ranging from regions with pronounced seasonality in canopy development (i.e., tropical savannas) to regions where seasonal variation is minimal (i.e., tropical rainforests) or high but irregular (i.e., arid ecosystems). Next, we use time series colour information extracted from phenocam imagery to illustrate a range of phenological signals in four contrasting Australian ecosystems. These include greening and senescing events in tropical savannas and temperate eucalypt understory, as well as strong seasonal dynamics of individual trees in a seemingly static evergreen rainforest. We also demonstrate how phenology links with ecosystem gross primary productivity (from eddy covariance) and discuss why these processes are linked in some ecosystems but not others. We conclude that phenocams have the potential to greatly improve current understanding of Australian ecosystems. To facilitate sharing of this information, we have formed the Australian Phenocam Network (http://phenocam.org.au/)."	"13"	"17"	"5085–5102"	NA	NA	NA	"10.5194/bg-13-5085-2016"	NA	"pubid: XeErXHja3Z8C"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Global marine protected areas do not secure the evolutionary history of tropical corals and fishes"	"Mouillot, David ; Parravicini, Valeriano ; Bellwood, David R. ; Leprieur, Fabien ; Huang, D. ; Cowman, Peter F. ; Albouy, Camille ; Hughes, T. P. ; Thuiller, Wilfried ; Guilhaumon, François"	"Nature Communications"	NA	NA	"Although coral reefs support the largest concentrations of marine biodiversity worldwide, the extent to which the global system of marine-protected areas (MPAs) represents individual species and the breadth of evolutionary history across the Tree of Life has never been quantified. Here we show that only 5.7% of scleractinian coral species and 21.7% of labrid fish species reach the minimum protection target of 10% of their geographic ranges within MPAs. We also estimate that the current global MPA system secures only 1.7% of the Tree of Life for corals, and 17.6% for fishes. Regionally, the Atlantic and Eastern Pacific show the greatest deficit of protection for corals while for fishes this deficit is located primarily in the Western Indian Ocean and in the Central Pacific. Our results call for a global coordinated expansion of current conservation efforts to fully secure the Tree of Life on coral reefs."	"7"	NA	"10359–10366"	NA	NA	NA	"10.1038/ncomms10359"	"http://www.ncbi.nlm.nih.gov/pubmed/26756609%0Ahttp://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=PMC4729959"	"pubid: PklR0melJeUC"
"DAFNEE"	"CESAB"	"journalArticle"	"2016"	"Testing the generality of above-ground biomass allometry across plant functional types at the continent scale"	"Paul, Keryn I. ; Roxburgh, Stephen H. ; Chave, Jérôme ; England, Jacqueline R. ; Zerihun, Ayalsew ; Specht, Alison ; Lewis, Tom ; Bennett, Lauren T. ; Baker, Thomas G. ; Adams, Mark A. ; Huxtable, Dan ; Montagu, Kelvin D. ; Falster, Daniel S. ; Feller, Mike ; Sochacki, Stan ; Ritson, Peter ; Bastin, Gary ; Bartle, John ; Wildy, Daniel ; Hobbs, Trevor ; Larmour, John ; Waterworth, Rob ; Stewart, Hugh T. L. ; Jonson, Justin ; Forrester, David I. ; Applegate, Grahame ; Mendham, Daniel ; Bradford, Matt ; O'Grady, Anthony ; Green, Daryl ; Sudmeyer, Rob ; Rance, Stan J. ; Turner, John ; Barton, Craig V. M. ; Wenk, Elizabeth H. ; Grove, Tim ; Attiwill, Peter M. ; Pinkard, Elizabeth ; Butler, Don ; Brooksbank, Kim ; Spencer, Beren ; Snowdon, Peter ; O'Brien, Nick ; Battaglia, Michael ; Cameron, David M. ; Hamilton, Steve ; McAuthur, Geoff ; Sinclair, Jenny"	"Global Change Biology"	NA	NA	"Accurate ground-based estimation of the carbon stored in terrestrial ecosystems is critical to quantifying the global carbon budget. Allometric models provide cost-effective methods for biomass prediction. But do such models vary with ecoregion or plant functional type? We compiled 15,054 measurements of individual tree or shrub biomass from across Australia to examine the generality of allometric models for prediction above-ground biomass. This provided a robust case study because Australia includes ecoregions ranging from arid shrublands to tropical rainforests, and has a rich history of biomass research, particularly in planted forests. Regardless of ecoregion, for five broad categories of plant functional type (shrubs; multi-stemmed trees; trees of the genus Eucalyptus and closely related genera; other trees of high wood density; and other trees of low wood density), relationships between biomass and stem diameter were generic. Simple power-law models explained 84-95% of the variation in biomass, with little improvement in model performance when other plant variables (height, bole wood density), or site characteristics (climate, age, management) were included. Predictions of stand-based biomass from allometric models of varying levels of generalisation (species-specific, plant functional type) were validated using whole-plot harvest data from 17 contrasting stands (range: 9 to 356 Mg ha(-1) ). Losses in efficiency of prediction were ¡ 1% if generalised models were used in place of species-specific models. Furthermore, application of generalised multi-species models did not introduce significant bias in biomass prediction in 92% of the 53 species tested. Further, overall efficiency of stand-level biomass prediction was 99%, with a mean absolute prediction error of only 13%. Hence, for cost-effective prediction of biomass across a wide range of stands, we recommend use of generic allometric models based on plant functional types. Development of new species-specific models is only warranted when gains in accuracy of stand-based predictions are relatively high (e.g. high-value monocultures). This article is protected by copyright. All rights reserved."	"22"	"6"	"2106–2124"	NA	NA	NA	"10.1111/gcb.13201"	NA	"pubid: TeJ9juy8vcMC"
